name,artists,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,0.499,0.675,0.397,5.85e-06,0.0939,0.0245,0.319
Push Ups,Drake,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ,,,,,,,
Why Would You Be Loved,Hozier,https://open.spotify.com/track/4oHFmfo0VVpcIA9AewhOZB,0.0244,0.408,0.633,0,0.34,0.035,0.0767
Happy World,Debbii Dawson,https://open.spotify.com/track/0kY86R5mW1Js0jymCs8Wfp,0.00991,0.669,0.758,0,0.132,0.0358,0.66
Baddy On The Floor,"Jamie xx, Honey Dijon",https://open.spotify.com/track/3CqaTHbiU2nBy3Ar9RnDHN,0.00307,0.652,0.877,0.699,0.186,0.0339,0.562
Down Bad,Taylor Swift,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,0.554,0.546,0.36,0,0.0966,0.0774,0.181
HERicane,Lucky Daye,https://open.spotify.com/track/64fITmtln0OJqcxPf09vnY,0.244,0.739,0.686,0.00145,0.0963,0.0479,0.743
Teka (with Peso Pluma),"DJ Snake, Peso Pluma",https://open.spotify.com/track/555maXFEF9m0lE4UGRzCHk,0.0157,0.881,0.757,0.00817,0.118,0.0734,0.588
"FTCU (feat. Travis Scott, Chris Brown & Sexyy Red) - SLEEZEMIX","Nicki Minaj, Travis Scott, Chris Brown, Sexyy Red",https://open.spotify.com/track/2oTFuT1tKLHlTJsnBSJJiN,,,,,,,
Why is everyone a DJ?,LAUNDRY DAY,https://open.spotify.com/track/3y3JcY50HJob6QfkGz66ti,0.00186,0.475,0.816,0.000573,0.136,0.066,0.599
Wreckage,Pearl Jam,https://open.spotify.com/track/4WnQyfhJn0O0LY3SPlxReB,0.000102,0.49,0.897,0.000238,0.284,0.0335,0.447
Starburster,Fontaines D.C.,https://open.spotify.com/track/1cg4xD453Wuol9fNsRDbsV,0.0656,0.511,0.862,1.86e-06,0.0939,0.0659,0.361
Shudder,Jelani Aryeh,https://open.spotify.com/track/1c1iyuIpgPr7FBbMBkQEzJ,0.0136,0.364,0.798,0.306,0.262,0.041,0.189
"Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,https://open.spotify.com/track/78RdTKcI2CediltTnGLIqr,0.0752,0.749,0.505,0,0.494,0.0458,0.258
