Artist,Track Name,Spotify Link,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence
Daniel Pemberton,Across the Spider-Verse (Start a Band),https://open.spotify.com/track/52NljNc8iekEE6Gq7RZ43E,0.00567,0.239,0.542,0.9,0.0752,0.0446,0.099
Phoebe Bridgers,Kyoto,https://open.spotify.com/track/4vjvx7Zxkb4AltGcZ0BBvI,0.0467,0.6,0.749,0.295,0.0915,0.0419,0.485
O Grilo,Tudo e Mais um Pouco,https://open.spotify.com/track/2XXBtwtgdfQ3rGvgweteRF,0.0509,0.798,0.417,0.00011,0.11,0.039,0.635
Ana Moura,Agarra Em Mim,https://open.spotify.com/track/4BwGhQuJOQE6NObn5SlBQ3,0.808,0.411,0.544,3.57e-06,0.206,0.0594,0.286
Stereophonics,Dakota,https://open.spotify.com/track/3qaSqrrevBrb84xl5JlptU,0.129,0.506,0.93,0.00682,0.0931,0.0675,0.305
Ezra Collective,São Paulo,https://open.spotify.com/track/7kj9z5Zpp8krH0672EnHyJ,0.154,0.809,0.859,0.868,0.0628,0.148,0.947
Voodoo Marmalade,Tormento,https://open.spotify.com/track/26pTy5WirdDLSZrOAxPW1g,0.795,0.767,0.687,0,0.187,0.0411,0.971
Red Hot Chili Peppers,This Ticonderoga,https://open.spotify.com/track/3iXNy7VaY9OqJFBwzhmbOh,0.016,0.238,0.949,0,0.0864,0.247,0.405
Joy Oladokun,"Questions, Chaos & Faith",https://open.spotify.com/track/7dwszn3bUo9ozTx5SjRzZa,0.577,0.411,0.381,7.71e-06,0.319,0.028,0.249
Twenty One Pilots,Never Take It - Livestream Version,https://open.spotify.com/track/4Ueyqrz4v0UzqDupbxByqx,0.00503,0.779,0.812,0.0065,0.254,0.0344,0.689
Pedro Mafama,Estrada,https://open.spotify.com/track/4O0ZU7ZqHyPisctZ7N7wXR,0.0167,0.651,0.802,4.08e-06,0.268,0.0639,0.56
Gorillaz,Désolé (feat. Fatoumata Diawara) - Extended Version,https://open.spotify.com/track/7rhtPZkcGCWgA3kizGwXwO,0.337,0.73,0.688,0.229,0.0727,0.028,0.861
K.Flay,Irish Goodbye (feat. Vic Fuentes of Pierce The Veil),https://open.spotify.com/track/2BtFhZlm9Sz5FAiYIjChUl,0.0114,0.488,0.771,0,0.0973,0.107,0.605
Spyres,Otherside,https://open.spotify.com/track/4hCdleTkpzQ0BD8X9Pzutm,0.000106,0.424,0.899,0.000516,0.199,0.052,0.395
benny blanco,Eastside (with Halsey & Khalid),https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,0.549,0.632,0.686,0,0.2,0.243,0.329
Gorillaz,Tranz,https://open.spotify.com/track/7jYUaoOfdcYgUvkK8NnFfx,0.0324,0.649,0.883,0.0185,0.0658,0.0306,0.779
My Chemical Romance,Summertime,https://open.spotify.com/track/7cQjIIjLOhbRVCXyIepF2U,0.000252,0.6,0.799,0.0121,0.0932,0.0332,0.647
The Kinks,You Really Got Me,https://open.spotify.com/track/6tZdL3Zp8JgrfDbsSeSV1S,0.0995,0.567,0.959,6.07e-05,0.1,0.102,0.961
Twenty One Pilots,Ode to Sleep,https://open.spotify.com/track/773xZHHSHJvC1z3AAtWgH6,0.00891,0.446,0.76,0.000108,0.232,0.0453,0.512
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,0.417,0.715,0.62,0,0.0822,0.0484,0.172
Ana Moura,Andorinhas,https://open.spotify.com/track/7uVSiur2qbRT0py1aeJuC8,0.553,0.599,0.523,3.63e-05,0.151,0.0279,0.316
The Reytons,On the Back Burner,https://open.spotify.com/track/6eczJiyXPukaEhiA6OPPtk,0.00504,0.623,0.931,0,0.113,0.049,0.963
Declan McKenna,Elevator Hum,https://open.spotify.com/track/7nRrO9tLVZRhtOcoQPRwQi,0.0521,0.467,0.896,0.11,0.707,0.0442,0.347
Oasis,Morning Glory - Remastered,https://open.spotify.com/track/1H0K1GVwLteCZrPquy7qkM,0.0588,0.33,0.982,4.74e-05,0.519,0.0926,0.104
The Beatles,I Want To Hold Your Hand - Remastered 2015,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s,0.386,0.49,0.715,0,0.311,0.0476,0.866
